id;created;appointement_date;start_date;end_date;title;description;status;status_change_date;commentary;manager_id;advisor_id
1;2021-09-06T01:34:54;2021-09-06;2021-09-06T06:18:29;2021-09-06T21:04:34;tangible;USB Kids;APPROVED;2021-09-06T06:24:43;Monsieur-le-Prince c;1;1
2;2021-09-06T08:58:48;2021-09-06;2021-09-06T03:45:54;2021-09-06T17:01:57;invoice c Speci;Russie cross-media;REPORTED;2021-09-06T13:44:44;transmitting Centre;2;2
3;2021-09-06T04:21:49;2021-09-06;2021-09-06T13:17:32;2021-09-06T16:33:25;web-readiness B;Car;REPORTED;2021-09-06T15:38:43;Shoes Unbranded redundant;1;1
4;2021-09-06T02:58:30;2021-09-06;2021-09-06T18:05:21;2021-09-06T18:26:46;Buckinghamshire;b;REPORTED;2021-09-06T01:50:30;bandwidth Limousin;2;2
5;2021-09-06T14:03:20;2021-09-06;2021-09-06T14:23:51;2021-09-06T14:40:26;Loan;compelling transmit Unbranded;REJECTED;2021-09-06T19:44:40;Avon matrices;2;2
6;2021-09-06T13:16:36;2021-09-06;2021-09-06T05:00:55;2021-09-06T21:03:55;port Saint-Séve;Corse Tasty multi-byte;REPORTED;2021-09-06T10:43:10;architectures;1;2
7;2021-09-06T20:58:47;2021-09-06;2021-09-06T18:46:03;2021-09-05T21:59:14;complexity Baby;Bedfordshire;REPORTED;2021-09-06T16:58:50;Developpeur;2;2
8;2021-09-06T08:15:58;2021-09-06;2021-09-06T10:09:40;2021-09-05T23:17:36;Victoire Domini;invoice des;APPROVED;2021-09-06T19:39:16;Realigned;2;2
9;2021-09-06T05:11:39;2021-09-06;2021-09-06T18:50:58;2021-09-06T16:10:31;blue Shirt Lice;PNG d'Azur;CANCELLED;2021-09-06T19:01:57;Developpeur XML emulation;2;1
10;2021-09-05T22:22:16;2021-09-06;2021-09-06T18:10:18;2021-09-06T19:09:36;maroon;collaboration;REPORTED;2021-09-06T05:31:55;neural violet Charlemagne;1;2
